,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
289,40,0.5,8,0.8,1.468613406,1.6662673
290,4,0.6,8,0.8,1.990392305,2.050169
291,13,0.6,8,0.8,2.021552564,2.0858717
292,22,0.6,8,0.8,2.021902785,2.096699
293,31,0.6,8,0.8,2.021905387,2.1006558
294,40,0.6,8,0.8,2.02262302,2.097796
295,4,0.7,8,0.8,2.258884433,2.3880324
296,13,0.7,8,0.8,2.29748334,2.4323072
297,22,0.7,8,0.8,2.296650785,2.4341235
298,31,0.7,8,0.8,2.296063044,2.4292333
299,40,0.7,8,0.8,2.295194891,2.4189677
300,4,0.2,20,0.8,1.738981855,1.751853
301,13,0.2,20,0.8,1.763186147,1.739452
302,22,0.2,20,0.8,1.763325468,1.7305511
303,31,0.2,20,0.8,1.763324407,1.7146672
304,40,0.2,20,0.8,1.321496542,1.6926309
305,4,0.3,20,0.8,3.3576778,3.2960172
306,13,0.3,20,0.8,3.481164396,3.3977482
307,22,0.3,20,0.8,3.481329453,3.4004087
308,31,0.3,20,0.8,3.481275144,3.3982792
309,40,0.3,20,0.8,3.481340697,3.401082
310,4,0.4,20,0.8,4.631286008,4.650509
311,13,0.4,20,0.8,4.934823553,4.929991
312,22,0.4,20,0.8,4.93504834,4.9292126
313,31,0.4,20,0.8,4.935094989,4.924191
314,40,0.4,20,0.8,4.935369776,4.9404383
315,4,0.5,20,0.8,5.698690044,5.6249332
316,13,0.5,20,0.8,6.242280374,6.1333785
317,22,0.5,20,0.8,6.24249461,6.1271133
318,31,0.5,20,0.8,6.242557838,6.1090083
319,40,0.5,20,0.8,6.242223956,6.122343
320,4,0.6,20,0.8,6.287934007,6.151334
321,13,0.6,20,0.8,7.045219467,6.8942
322,22,0.6,20,0.8,7.045486622,6.8944774
323,31,0.6,20,0.8,7.045851085,6.8692484
324,40,0.6,20,0.8,7.045370521,6.87772
325,4,0.7,20,0.8,6.264345006,6.330062
326,13,0.7,20,0.8,7.056037029,7.228892
327,22,0.7,20,0.8,7.055321624,7.247328
328,31,0.7,20,0.8,7.054896667,7.2253637
329,40,0.7,20,0.8,7.053422234,7.2331734
330,4,0.2,32,0.8,3.854245614,3.8494892
331,13,0.2,32,0.8,3.962114592,3.9728851
332,22,0.2,32,0.8,3.962350666,3.939415
333,31,0.2,32,0.8,3.963228174,3.9096603
334,40,0.2,32,0.8,3.961936602,3.902137
335,4,0.3,32,0.8,6.341401579,6.215666
336,13,0.3,32,0.8,6.797775259,6.7141805
337,22,0.3,32,0.8,6.79881036,6.7004085
338,31,0.3,32,0.8,6.798681748,6.6875424
339,40,0.3,32,0.8,6.798058133,6.7298346
340,4,0.4,32,0.8,8.172618389,7.914622
341,13,0.4,32,0.8,9.285938612,9.027948
342,22,0.4,32,0.8,9.288636515,9.019796
343,31,0.4,32,0.8,9.288528541,8.992571
344,40,0.4,32,0.8,9.288232714,9.045382
345,4,0.5,32,0.8,8.705944065,8.677728
346,13,0.5,32,0.8,10.55974959,10.544229
347,22,0.5,32,0.8,10.56408797,10.542738
348,31,0.5,32,0.8,10.56365883,10.49209
349,40,0.5,32,0.8,10.5640163,10.532522
350,4,0.6,32,0.8,9.059035999,8.882362
351,13,0.6,32,0.8,11.64455083,11.350282
352,22,0.6,32,0.8,11.64946249,11.369288
353,31,0.6,32,0.8,11.64898214,11.310667
354,40,0.6,32,0.8,11.64812152,11.343229
355,4,0.7,32,0.8,9.33865544,8.857491
356,13,0.7,32,0.8,12.29914608,11.663704
357,22,0.7,32,0.8,12.30367226,11.71765
358,31,0.7,32,0.8,12.3036729,11.669165
359,40,0.7,32,0.8,12.30189525,11.703618
360,4,0.2,8,1,0.005198174,0.12931308
361,13,0.2,8,1,0.005202603,0.12924783
362,22,0.2,8,1,0.005202148,0.1302102
363,31,0.2,8,1,0.005232558,0.13069575
364,40,0.2,8,1,0.005202261,0.13054919
365,4,0.3,8,1,0.419648626,0.34958404
366,13,0.3,8,1,0.420888468,0.35547802
367,22,0.3,8,1,0.420860651,0.36444658
368,31,0.3,8,1,0.420857917,0.37158215
369,40,0.3,8,1,0.420880186,0.37615266
370,4,0.4,8,1,0.740620731,0.7665212
371,13,0.4,8,1,0.746226051,0.78581744
372,22,0.4,8,1,0.7463628,0.80680066
